0,1,2,3,4,5
Indicator:	B	-	Central	Bank	remittance	inflows,,,,,
Sending	country,Receive	cou.. Date,,Value,Unit,Source
,Uganda,2022,13.8,USD	millions,Bank	of	Uganda
Sweden,Ethiopia,2020,23.15221747,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"18,233.930534005",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,32.3417955,USD	millions,Bank	Al-Maghrib
,Senegal,2021,0.009709596,USD	millions,BCEAO
,Uganda,2022,7.3,USD	millions,Bank	of	Uganda
Switzerland,Kenya,2024,"51,518.222344458",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,119.474662,USD	millions,Bank	Al-Maghrib
Tanzania,Kenya,2024,"75,845.291390990",USD	millions,Central	Bank	of	Kenya
The	Netherlands,Kenya,2024,"31,220.545359899",USD	millions,Central	Bank	of	Kenya
,Senegal,2021,0.000645780,USD	millions,BCEAO
Togo,Senegal,2021,19.595612958,USD	millions,BCEAO
Tunisia,Senegal,2021,0.198476898,USD	millions,BCEAO
Turkey,Uganda,2022,25.4,USD	millions,Bank	of	Uganda
Uganda,Kenya,2024,"64,988.791356259",USD	millions,Central	Bank	of	Kenya
United	Arab	Emirates,Ethiopia,2020,282.08303062,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"137,814.495861864",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,454.6849505,USD	millions,Bank	Al-Maghrib
,Senegal,2021,4.375840988,USD	millions,BCEAO
,Uganda,2022,186.9,USD	millions,Bank	of	Uganda
United	Kingdom,Ethiopia,2020,86.22223346,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"358,836.441397577",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,204.8088885,USD	millions,Bank	Al-Maghrib
,Senegal,2021,61.392150749,USD	millions,BCEAO
,Uganda,2022,136.6,USD	millions,Bank	of	Uganda
United	States,Ethiopia,2020,387.04401602,USD	millions,National	Bank	of	Ethiopia
,Kenya,2024,"2,637,772.27432718",USD	millions,Central	Bank	of	Kenya
,Morocco,2020,422.388121,USD	millions,Bank	Al-Maghrib
,Senegal,2021,479.695927280,USD	millions,BCEAO
,Uganda,2022,184.5,USD	millions,Bank	of	Uganda
Zambia,Kenya,2024,"8,091.510769618",USD	millions,Central	Bank	of	Kenya
